Concurso;Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Time_Coração;Valor_Arrecadado;Ganhadores_7_Números;Cidade;UF;Ganhadores_6_Números;Ganhadores_5_Números;Ganhadores_4_Números;Ganhadores_3_Números;Ganhadores_Time_Coração;Valor_Rateio_7_Números;Valor_Rateio_6_Números;Valor_Rateio_5_Números;Valor_Rateio_4_Números;Valor_Rateio_3_Números;Valor_Time_Coração;Valor_Acumulado;Estimativa_Premio
19;06/07/2008;44;60;49;26;75;55;38;CSA/AL;000;0;;;3;176;3482;36198;6181;000;65.91972;74909.0;600;200;200;1.135.74923;1.500.00000
20;13/07/2008;19;39;64;73;37;53;28;FIGUEIRENSE/SC;000;0;;;14;455;4248;41695;10277;000;14.80384;30367.0;600;200;200;1.412.08758;1.800.00000
21;20/07/2008;15;59;80;75;1;46;65;FLUMINENSE/RJ;000;0;;;7;268;4605;43044;33615;000;27.691640000000003;48219.0;600;200;200;1.670.54291;1.900.00000
22;27/07/2008;7;52;78;21;4;55;60;LONDRINA/PR;000;0;;;4;218;4156;39273;10896;000;49.16499;60141.0;600;200;200;1.932.75617;2.200.00000
23;03/08/2008;17;12;20;62;16;23;60;GAMA/DF;000;0;;;6;216;4526;43109;8991;000;35.64945;66017.0;600;200;200;2.217.95175;2.500.00000
24;10/08/2008;62;78;72;80;59;61;4;PARANÁ/PR;000;0;;;0;129;2806;32715;8860;000;0.0;1.17;600;200;200;3.092.22181;3.500.00000
25;17/08/2008;47;4;49;23;51;75;44;YPIRANGA/AP;000;0;;;9;306;5195;46019;7188;000;23.22449;45538.0;600;200;200;3.370.91569;3.700.00000
26;24/08/2008;48;22;54;7;74;70;14;ATLÉTICO/MG;000;0;;;5;282;4542;41896;28214;000;40.70895;48119.0;600;200;200;3.642.30867;3.900.00000
27;31/08/2008;8;20;55;31;54;4;48;GRÊMIO/RS;000;0;;;6;281;5274;47572;55898;000;31.52018;44868.0;600;200;200;3.894.47011;4.200.00000
28;07/09/2008;78;26;15;66;55;24;72;SANTOS/SP;000;0;;;5;205;4591;47303;50327;000;41.25483;67081.0;600;200;200;4.169.50230;4.500.00000
29;14/09/2008;49;8;34;4;25;68;52;RIO BRANCO/AC;000;1;;SP;16;357;6048;53122;5285;4.479.71111;14.541039999999999;43447.0;600;200;200;000;600.00000
30;21/09/2008;9;69;19;44;33;20;1;AMÉRICA/RN;000;0;;;4;267;4781;38419;4552;000;36.7653;36720.0;600;200;200;542.95398;800.00000
31;28/09/2008;70;1;63;12;46;52;74;BAHIA/BA;000;0;;;7;108;2241;24748;21102;000;21.14621;91373.0;600;200;200;740.31856;900.00000
32;05/10/2008;54;19;2;23;25;45;41;VITÓRIA/BA;000;0;;;3;233;4445;38293;15199;000;47.91591;41130.0;600;200;200;931.98221;1.200.00000
33;11/10/2008;62;78;35;30;79;29;13;SÃO RAIMUNDO/AM;000;0;;;3;110;2759;28339;4560;000;52.2009;94911.0;600;200;200;1.140.78580;1.300.00000
34;19/10/2008;28;57;48;29;56;60;34;VASCO DA GAMA/RJ;000;0;;;3;125;2727;28613;30846;000;47.66879;76270.0;600;200;200;1.577.60813;2.000.00000
35;26/10/2008;77;20;16;50;25;70;75;FORTALEZA/CE;000;1;;BA;4;168;2911;26304;11831;1.774.25689;36.87164;58527.0;600;200;200;000;300.00000
36;01/11/2008;10;42;54;72;20;58;59;MIXTO/MT;000;0;;;2;115;2494;25855;4762;000;63.50659;73631.0;600;200;200;169.35090;300.00000
37;09/11/2008;51;55;12;19;37;6;8;SÃO RAIMUNDO/AM;000;0;;;10;353;4982;39222;3890;000;12.69252;23971.0;600;200;200;338.58455;500.00000
38;16/11/2008;21;69;71;30;35;8;49;GOIÁS/GO;000;0;;;0;80;1668;17594;7990;000;0.0;86504.0;600;200;200;580.79413;700.00000
39;23/11/2008;61;13;31;28;80;52;41;RIO BRANCO/ES;000;0;;;2;113;2070;22229;2983;000;65.6775;77495.0;600;200;200;968.12887;1.200.00000
40;30/11/2008;64;76;36;45;54;35;9;FIGUEIRENSE/SC;000;0;;;2;122;2559;25607;6588;000;66.47169;72646.0;600;200;200;1.145.38670;1.400.00000
41;07/12/2008;79;25;63;37;75;42;19;BANGU/RJ;000;0;;;2;260;4049;33465;5873;000;69.63374;35710.0;600;200;200;1.331.07665;1.500.00000
42;14/12/2008;19;41;8;78;50;71;47;BARUERI/SP;000;0;;;1;120;2612;27004;4485;000;140.40267;78001.0;600;200;200;1.518.28020;1.700.00000
43;21/12/2008;23;42;10;66;60;52;73;FLAMENGO/RJ;000;0;;;4;106;2679;26335;64190;000;30.57017;76906.0;600;200;200;1.681.32111;1.800.00000
44;28/12/2008;20;66;76;27;21;64;30;SANTOS/SP;000;0;;;1;50;1607;18741;27787;000;120.63693;1.60849;600;200;200;2.060.68076;2.200.00000
